title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
Lincoln,T. Thomas Fortune,Fortune,"The waves dashed high; the thunders echoed far;
The lightnings flashed into the dismal gloom
The bolts by Vulcan forged in Nature's womb,
And earth was shaken by the furious war!
The Ship of State was strained in every spar!
And strong men felt that now had come their doom;
And weak men scanned the dark heavens for a star
To save them from a fratricidal tomb.
But, one, amid the strife—collected, calm,
Patient and resolute—was firm, and trod
The deck, defiant of the angry storm,
Guiding the ship—like to some ancient god!
   And high upon the scroll of endless fame,
   In diamond letters, flashes Lincoln's name.",January,1902,Colored American ,Walter W. Wallace,"Sonnet, Elegy",male,"Abraham Lincoln, Civil War",Dreams of Life,Boston,Predom. Black,https://en.wikipedia.org/wiki/Timothy_Thomas_Fortune
We Know No More,T. Thomas Fortune,Fortune,"I sometimes feel that life contains
   Nothing, in all its wealth, to pay
For half the sorrows and the pains
   That haunt our day.

Ambition lures us on and on,
   A dangerous and a treacherous guide!
With every vict'ry that is won
   Goes humbled pride!

And, still, we labor, love, and trust,
   And seek to conquer as we go!
We reap at last repose in dust—
   Naught else we know!

We leave the gewgaws of our power,
   The hearts that hate us, and adore!
And after life's distressing hour—
   We know no more!",April,1908,Colored American ,Fred R. Moore,Common Measure,male,,Dreams of Life,New York,Predom. Black,https://en.wikipedia.org/wiki/Timothy_Thomas_Fortune
Paul Laurence Dunbar,Theodore Henry Shackelford,Shackelford,"An immortal name and eternal fame
Are not judged by color of the skin,
The true and best sign is an active mind—
It is there all true greatness begins.

In the hall of fame is 'graven a name—
The son of a down-trodden race ;
Though of humble birth , this genius of worth
In the forum of fame holds a place .

His name and song will ever live long
To chase from life sorrow and strife ;
Poems of praise will our voices raise
Notes and lyrics of lowly life.

Then shine, bright star , on heights afar;
Blaze out a sure path for all men:
Thy light lose not, all else forgot;
Bid them come to thee and ascend.",November,1908,Colored American,Fred R. Moore,Common Measure,male,Paul Laurence Dunbar,,New York,Predom. Black,https://poets.org/poet/theodore-henry-shackelford
The U.N.I.A. ,Thomas H. Brooks,Brooks,"The U.N.I.A. is a theme,
Which millions are entwined
With well wrought plans or business schemes,
And brotherhood combined.
 
It means that all should fall in line,
With the advancing guide:
Responding to the sign of time,
The new emblem of pride.
 
There are great adventures lie in wait,
Make this a gorgeous year:
Get out of that hesitating gate,
The break of morn is near.
 
Our far off kin, of whom we’ve dreamed,
Beyond the tossing wave:
Await our coming to redeem
The land, which God has gave.
 
About-face to that sunny shore!
Where tyrants ruling bind:
And hold enthralled, a stupid host
Of untrained human mind.
 
In one procession let us charge!
Forth with the lofty theme:
‘Till nations all salute the bark
That bear, red, black and green.",March,1921,Negro World,Hubert Harrison,,male,Travel-Migration-Great Migration,,New York,Predom. Black,
A Sonnet in Memory of Lucian B. Watkins (1921),Thomas Millard Henry,Henry,"What is so sad as when a poet dies
Whose song was sweet and bold, whose face was black,
Who audience ahd not evolved, alack!
to cherish all he brought them from the skies?
The swin has had a pearl. How few the eyes
That followed him when on that horse's back
he reared up throug the air that has no track,
To where non but Apollo's darlings rise.
He sang and ""loved and lost,"" but nevermore
Will such sad themes be his; for at the gate
Of sweet Elysium he'll learn a song
With raptures deeper than was his before
High love of song admits one in that state
Forever!--think, forever's very long. ",February,1921,Negro World,Hubert Harrison,"Sonnet, Elegy",male,Intertext,,New York,Predom. Black,
Alas,Thomas Millard Henry,Henry,"My loftier songs may never see the light,
Though fine as what some pompous bard can make.
Here's one inspired by the stomachache
Incurred by eating peanuts yesternight.
But luck can't hide the sparks, for sparks are bright
And should, because of darkness, win the cake,
(As Dunbar showed you in his glittering wake)
So fame again might treat song's victim white.
No Muses can rebel stomach rule;
She'll force them to the bread and cabbage class;
Thin walls divide the martyr and the fool,
And death is less inviting than the crass ;
I'm dragged into maudlin cabbage school
Because none had the heart to sound the brass.",June,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Sonnet,male,Intertext,,New York,Predom. Black,
Countee Cullen,Thomas Millard Henry,Henry,"On Pegasus you've flown into a sheen —
A glorious passion has possessed your tongue.
You moved old doctors with your lispings, strung
Harplike, awaking melodies serene.
Though in this moon when conscious song seems lean,-
And bends to prose, your steed with wings outflung,
Veils the Plebeian quills ;—wreath-hemmed while young
As Byron was, or Dunbar, at nineteen.
Your diapasons fill Apollo's skies;
Yet, when his restless Nine encircle you,
For pennyroyal sinks your hooked line,
You tonic us mid pleasure and surprise . . .
So I one of your patients credit you
For songs like meat, like medicine, like wine.",October,1924,The Messenger,"A. Philip Randolph, Chandler Owen",Sonnet,male,Intertext,,New York,Predom. Black,
Three Poems,Thomas Millard Henry,Henry,"The Song of Psyche

Hark this message I bring, in this carol I sing,
From a song that I heard in the park.
'Twasn't trammelled in word, for it came from a bird;
'Twas divined from the notes of a lark

Dreams Are the Workman's Friends

Dreams are the workman's friends. Their rapture can
Awake his spirits better than old wines ;
To 'waken him to beauty is their plan;
They bring him rubies from remote confines.
   Dreams are the workman's friends.

I daily hang my latchstrings out of doors
For them. They throw conditions to the winds.
They find me lighting lamps or tinting floors;
And yet they greet me like old-fashioned friends.
   Dreams are the workman's friends.

Forsooth, the elves of limbo leave my camp,
They jostle in confusion in retreat.
My rapture drives them onward like a lamp
Drives on the dark before the pilgrim's feet.
   Dreams are the workman's friends.

They bring me mingled rapture o'er the crest,
That once behind horizons hid away.
Their gift of rapture burns within my breast
Like twilight beams that love the dying day.
   Dreams are the workman's friends. 

My Motive

Should you who listen to my flute
Conclude 'twere best if I were mute,
Or should you doubt that I have won
The wreath of praise, the glad ""well done"";
If you some better verse have read,
My soul would still be comforted :—
For though I limitations feel.
Love, strangling judgment, made me kneel, —
Constrained by reverence, not conceit —
To vent my soul at Beauty's feet.",January,1924,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Labor,,New York,Predom. Black,
Ruthlessville,Thomas Millard Henry,Henry,"Their floors are cribs of ants and bugs —
I mean the folks of Ruthlessville —
Beneath each bed are liquor jugs;
Narcotic dirt their corners fill.
I mean the folks of Ruthlessville.

Their cupboards smell of musty foods,
Their wealth leans to a wanton use.
They swell their breasts with heartless moods
And leave the coils of virtue loose.
I mean the folks of Ruthlessville.

They squint an eye at aims sublime,
In blowing bubbles they have push.
A trifle grinds away their time;
They breathe an artificial wish;
I mean the folks of Ruthlessville.

Their mode of life is like the bears'—
Blind to the energy of truth.
Their thumbs are down on him who cares;
They hurt him like an aching tooth.
I mean the folks of Ruthlessville.",September,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,male,,,New York,Predom. Black,
To a Scientist,Thomas Millard Henry,Henry,"I saw the sunset yesterday
Behind the gold and purple west.
My soul's a richer soul for aye,
Because upon my heart was pressed
Its dream-inspiring souvenir.
Last June when roses were in bloom,
I saw one rare one in the dew.
My heart beats faster, I presume,
Because it was so simply new —
So supra-sweet its atmosphere.
I hear men praying to behold
Some far-off glory, and to share
Some city built of finest gold;
But why should I have business there,
If it be lovelier than here?
If I'm too crude to entertain
The joy that's made for me on earth.
Would not you think me basely vain
To build a bridge across its worth
In search of something lovelier?
And I can count them by the score, —
Those beauties that have touched my life.
The souls untouched by them are poor;
And they will help you in the strife
Who are our civic pioneer.",October,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,male,,,New York,Predom. Black,
Childhood's Memory,Violette Neatly Blackwell,Blackwell,"It was a dream, a dream of happiness,
A dream of love, so filled with melody ,
I scarce could breathe for its intensity :
It was a dream that only girlhood dreams.

It came upon me in the month of June,
   When all the birds were singing in the air,
   And Nature was her loveliest , and fair:
Oh ! it was sweet, too sweet to end so soon.

I'm older now and wiser, and my dreams,
   Those winged messengers of thoughts,
   Are not so youthful, nor so folly fraught:
They now are dreams that only women dream.",December,1901,Colored American,Walter W. Wallace,Common Measure,female,,,Boston,Predom. Black,https://en.wikipedia.org/wiki/Violette_Neatley_Anderson
Song of the Smoke,W.E.B. Du Bois,Du Bois,"I am the Smoke King
I am black!
I am swinging in the sky,
I am wringing worlds awry;
I am the thought of the throbbing mills,
I am the soul of the soul-toil kills,
Wraith of the ripple of trading rills;
Up I’m curling from the sod,
I am whirling home to God;
I am the Smoke King
I am black.

I am the Smoke King,
I am black!
I am wreathing broken hearts,
I am sheathing love’s light darts;
Inspiration of iron times
Wedding the toil of toiling climes,
Shedding the blood of bloodless crimes—
Lurid lowering ’mid the blue,
Torrid towering toward the true,
I am the Smoke King,
I am black.

I am the Smoke King,
I am black!
I am darkening with song,
I am hearkening to wrong!
I will be black as blackness can—
The blacker the mantle, the mightier the man!
For blackness was ancient ere whiteness began.
I am daubing God in night,
I am swabbing Hell in white:
I am the Smoke King
I am black.

I am the Smoke King
I am black!
I am cursing ruddy morn,
I am hearsing hearts unborn:
Souls unto me are as stars in a night,
I whiten my black men—I blacken my white!
What’s the hue of a hide to a man in his might?
Hail! great, gritty, grimy hands—
Sweet Christ, pity toiling lands!
I am the Smoke King
I am black.
",February,1907,Horizon,W.E.B. Du Bois,Free Verse,male,"Labor, Racism",The Crisis,New York,Predom. Black,https://www.poetryfoundation.org/poets/w-e-b-du-bois
The Song of America,W.E.B. Du Bois,Du Bois,"I doom, I live, I will,
I take, I lie, I kill!
I rend and rear
In deserts drear I build and burrow well.
With wrack and rue
I hound and hue
On founding stones in hell;
My temples rise
And split the skies.
My winged wheels do tell
The woven wonders of my hand.
The witch-work of my skill!
I writhe, I rave.
To chain the slave
I do the deed, I kill!
Now what care I
For God or Lie?
I am the great
      I WILL. ",October,1926,Palms,Countee Cullen,,male,,,"Guadalajara, Mexico",Predom. White,https://www.poetryfoundation.org/poets/w-e-b-du-bois
Poem (O Star-Kissed drifting...),W.E.B. Du Bois,Du Bois,"O Star-kissed drifting from above.
On misty moonbeams, sunshine shod,
Dim daughter of the lips of God,
To me and angels—Thou art Love!
O Earth-dipped raining joy, and rife
With all still wonders that abide,
Ghost Mother to the Time and Tide,
To me and faery—Thou art Life.
In love and life, in wrack and ruth
A whisper on the road to hell.
High heaven's herald, ringing well
Dear Death's destruction—Thou art Truth.",October,1926,Palms,Countee Cullen,,male,,,"Guadalajara, Mexico",Predom. White,https://www.poetryfoundation.org/poets/w-e-b-du-bois
Easter-Emancipation 1863-1913/ Children of the Moon,W.E.B. Du Bois,Du Bois,"I am dead;
Yet somehow, somewhere,
In Time's weird contradiction, I 
May tell of that dread deed, wherewith
I brought to Children of the Moon 
Freedom and vast salvation.

I was a woman born
And trod that streaming street
That ebbs and flows from Harlem's hills
Thro' caves and canyons limned in light
Down to the twisting sea.

That night of nights
I stood alone and at the End
Until the sudden highway to the Moon,
Golden in splendor,
Became too real to doubt.

Dimly I set foot upon the air;
I fled, I flew, thro' thrills of light,
With all about, above, below the whirring
Of almighty wings. I found a twilight land
Where, hardly hid, the sun
Sent softly saddened rays of
Red and brown to burn the iron earth
And bathe the snow-white peaks
In mighty splendor.

Black were the men,
Hard haired and silent slow,
Moving as shadows
Bending with face of fear to earthward;
And women there were none.

""Woman, woman, woman!""
I cried in mounting terror.
""Woman and Child!""
And the cry sang back
Thro' Heaven with the
Whirring of almighty wings.

Wings, wings, endless wings,
Heaven and earth are wings;
Wings that flutter, furl and fold,
Always folding and unfolding,
Ever folding yet again;
Wings, veiling some vast
And veiled face,
In blazing blackness,
Behind the folding and unfolding,
The rolling and unrolling of
Almighty wings!

I saw the black men huddle
Fumed in fear, falling face downward;
Vainly I clutched and clawed,
Dumbly they cringed and cowered,
Moaning in mournful monotone:
   O Freedom, O Freedom,
   O Freedom over me;
   Before I'll be a slave
   I'll be buried in my grave
   And go home to my God
   And be free.

It was as angel music
From the dead,
And ever, as they sang,
The winged Thing of wings, filling all Heaven,
Folding and unfolding, and folding yet again,
Tore out their blood and entrails
'Til I screamed in utter terror
And a silence came:
A silence and the wailing of a babe

Then at last I saw and shamed;
I knew how these dumb dark and dusky things
Had given blood and life
To fend the caves of underground
The great black caves of utter night
Where earth lay full of mothers
And their babes.

Little children sobbing in darkness.
Little children crying in silent pain.
Little mothers rocking and groping and struggling,
Digging and delving and groveling
Amid the dying-dead and dead-in-life.
And drip and dripping of warm, wet blood
Far, far beneath the wings.
The folding and unfolding of almighty wings.

I bent with tears and pitying hands
Above these dusky star-eyed children.
Crinkly haired, with sweet-sad baby voices
Pleading low for light and love and living— And I crooned:

   Little children weeping there,
   God shall find thy faces fair;
   Guerdon for thy deep distress.
   He shall send His tenderness;
   For the tripping of thy feet
   Make a mystic music sweet
   In the darkness of thy hair;
   Light and laughter in the air—
   Little children weeping there.
   God shall find thy faces fair!

I strode above the stricken bleeding men.
The rampart 'ranged against the skies.
And shouted:
""Up I say, build and slay;
Fight face foremost, force a way,
Unloose, unfetter and unbind;
Be men and free.""

Dumbly they shrank
Muttering they pointed toward that peak
Than vastness vaster,
Whereon a darkness brooded,
""Who shall look and live,"" they sighed;
And I sensed
The folding and unfolding of almighty wings

Yet did we build of iron, bricks and blood;
We built a day, a year, a thousand years.
Blood was the mortar,blood and tears
And, ah, the Thing, the Thing of wings,
The winged folding wing of Things,
Did furnish much mad mortar
For that tower.

Slow and ever slower rose the towering task
And with it rose the sun.
Until at last on one wild day,
Wind-whirled, cloud-swept and terrible.
I stood beneath the burning shadow
Of the peak.
Beneath the whirring of almighty wings
While downward from my feet
Streamed the long line of dusky faces
And the wail of little children sobbing under
Earth.

""Freedom! "" I cried.
""Freedom! "" cried Heaven, Earth and Stars,
And a Voice near-far
Amid the folding and unfolding of Almighty wings
Answered ""I am Freedom—
Who sees my face is free—
He and his.""

I dared not look;
Downward I glanced on deep bowed heads and closed eyes,
Outward I gazed on flecked and flaming blue—
But ever onward, upward flew
The sobbing of small voices;
Down, down, far down into the night.

Slowly I lifted livid limbs aloft;
Upward I strove:
The Face, the Face ;
Onward I reeled:
The Face, the Face!
To Beauty wonderful as sudden death
Or horror horrible as endless life—
Up! Up! the blood-built way
(Shadow grow vaster!
Terror come faster!)
Up ! Up to the blazing blackness
Of one veiled face
And endless folding and unfolding,
Rolling and unrolling of Almighty wings:
The last step stood!
The last dim cry of pain
Fluttered across the stars—
And then—

Wings, wings, triumphant wings,
Lifting and lowering, waxing and waning,
Swinging and swaying, twirling and whirling,
Whispering and screaming, streaming and gleaming,
Spreading and sweeping and shading and flaming—
Wings, wings, eternal wings,
'Til the hot red blood Flood fleeing flood,
Thundered thro' Heaven and mine ears
While all across a purple sky
The last vast pinion
Trembled to unfold.

I rose upon the Mountain of the Moon;
I felt the blazing glory of the Sun.
I heard the Song of Children crying ""Free!""
I saw the Face of Freedom—
And I died.
",April,1913,The Crisis,W.E.B. Du Bois,,male,"Motherhood, Religion, Slavery",Darkwater: Voices Within the Veil,New York,Predom. Black,https://www.poetryfoundation.org/poets/w-e-b-du-bois
Unrest,W.E.B. Du Bois,Du Bois,"O God!
Dip down Thy Hands into the flame ways of Thy Heavens;
Splash back the foaming clouds,
Strain out Thy Suns,
And let the stars drip through,
Upon the panting blindness of our ears.

This poem was originally published in The Crisis in April 1912.
",March,1920,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,Religion,,New York,Predom. Black,https://www.poetryfoundation.org/poets/w-e-b-du-bois
Joseph Pulitzer,W.E.B. Du Bois,Du Bois,"Softly, quite softly—
For I hear, above the murmur of the sea,
Faint and far-fallen footsteps, as of One
Who comes from out beyond the endless ends of Time,
With voice that downwar d looms thro' singing stars;
Its subtle sound I see thro' these long - darkened eyes,
I hear the Light He bringeth on his hands—
Almight  Death! Softly, oh, softly, lest he pass me by,
And that unquivering Light toward which my longing soul
And tortured body through these years have writhed,
Fade to the dun darkness of my days.

Softly, full softly, let me rise and greet
The strong, low luting of that long - awaited call;
Swiftly be all my good and going gone,
And this vast veiled and vanquished vigor of my soul
Seek somehow otherwhere its rest and goal,
Where endless spaces stretch,
Where endless time doth moan,
Where endless light doth pour
Thro ' the black kingdoms of eternal death.

Then haply I may see what things I have not seen,
Then I may know what things I have not known;
Then may I do my dreams!
Farewell! No sound of idle mourning let there be
To shudder this full silence—save the voice
Of children—little children, white and black,
Whispering the deeds I tried to do for them;
While I at last unguided and alone
Pass—softly, full softly.

— W. E. B. D . in the N. Y. World .
[The blind editor of the New York World died October 29, 1911, murmuring in German, ""Leise, ganz leise!"" His paper always treated  black folk fairly, in market contrast to most New York dailies.]",December,1911,The Crisis,W.E.B. Du Bois,Elegy,male,,New York World,New York,Predom. Black,https://www.poetryfoundation.org/poets/w-e-b-du-bois
In God's Gardens,W.E.B. Du Bois,Du Bois,"O mist-blown Lily of the north,
A-bnding southward in thy bloom,
And bringing beauty silver sown
And pale blue radiance of snows--

O fair white lily, bowin low,
Above the dream-swept poppy's mouth,
Athwart the black and crimson South--
Why dost thou fear--why dos thou fear? 

Lo! sense its sleep-sown subtle breath,
Where wheel in passioned whirl above
All lingering, luring love of love--
All perfume born of dole and deaht.

Cold ghost-wreathed Lily of the North,
When once thy dawning darkens there,
Come then with sunlight-sifted hair
And seek the haunting heaven of Night.

Where, over moon-mad shadows whirled,
The star-tanned mists dim swathe the sky
In phantasy to dream and die--
A wild sweetg wedding of the World. 
",April,1912,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,https://www.poetryfoundation.org/poets/w-e-b-du-bois
God's Edict,Wallace Thurman,Thurman,"Let the wind-rolled waves tell the tale of the sea,
And the talkative pines tell the tale of the tree;
Let the motored purr of an automobile
Tell the hum-drum tale of power and steel.
Let the blithesome chirp tell the tale of the bird,
And sad, low sounds tell the tale of the herd;
Then enthrone man on the dunce's stool
And let his tale be the tale of a fool. ",July,1926,Opportunity,Charles S. Johnson,Religion,male,Prize-winning,,New York,Predom. Black,https://en.wikipedia.org/wiki/Wallace_Thurman
Child of the Night,Walter Everett Hawkins,Hawkins,"Child of the Night am I-
Night's sable son;
When the elf-children came,
   Lo! I was one.

Darkness was over me when I was born,
I court the night-spirits and scoff at the morn,
Rainbows of midnight my features adorn.
   At the great forge of Time,
   Making men's souls sublime,
   I stood arrayed in Night
   Ere light was born.

   Poised on the wings of Night,
      Upward I glide,
   Flouting the flings of light,
      Proudly I ride.

I rest on the pillows of thunderous clouds,
Arrayed in the billows of wondrous shrouds,
I whip up the lightnings and mock the pale crowds.

   At the great forge of Time,
   Making men's souls sublime,
   I stood arrayed in Night
      Ere light was born.
   Blessing the sable sons,
      Lifting their shroud,
   Pressing less able ones,
      Purging the proud.

I daub them with ebony, smother their pride,
I swab them with smoke and their vanity chide.
Is the soul of a man in the hue of his hide?

   At the great forge of Time
   Making men's souls sublime,
   I stood arrayed in Night
      Ere light was born.
   Child of the dusky veil,
      Kissed by the Sun,
   Girded in trusty mail,
      Truth bids me on.

Cloud me in battle smoke, night-shrouds attend me,
The beginning was blackness and so will the end be;
Black God and black angels, surround and defend me!

   At the great forge of Time,
   Making men's souls sublime,
   I stood arrayed in Night
      Ere light was born.
",April,1924,The Crisis,"W.E.B. Du Bois, Jessie Fauset",,male,"Race: Black Identity, Religion",,New York,Predom. Black,https://en.wikipedia.org/wiki/Walter_Everette_Hawkins
I Am Africa,Walter Everette Hawkins,Hawkins,"I am Africa:
     Black as the wealth of my coal mines,
     Black as the murk of my midnight;
     I built Timbuctoo and Karnak,—
     The temples of Isis and Osiris,
     The Alphabet

I am Africa:
     I am the Sphinx and the Pyramids,
     The rub and riddle of the universe,
     Defying time and the elements.
     Upon the bosom of my prairies
     I shelter the caravan of nations,—
     I lull them to sleep in my midnight,—
     I bury them in my Saharas.
     From the pinnacle of my pyramids
     I laughed at the legions of Caesar.
     Out of the night of my midnight
     Arose the hut of the Zulu,
     The wigwam and kraal of the Bushmen,
     The dynasties of Rameses and the Pharaohs,
     The palaces and temples of the Ptolemies.
     My daughters were queens in old Sheba,
     My sons were the kings of old Egypt; 
     On the banks of the Nile I have reared them,
     In immortal art I embalmed them.

I am Africa:
     Black as the night of my coal mines,
     Black as the deep of my midnight,
     Prometheus on the rock of adversity,
     The nations I feed on my vitals,
     I give food to the tables of monarchs, 
     My coal warms the palaces of princes,
     My diamonds deck the bosoms of queens,—
     The queens in the palaces of London,
     The salons of Brussels and of Paris,
     The salons of Berlin
 
I am Africa:
     On the fertile banks of the Congo
     My sorrow in song I have lifted;
     In the cane brakes and cornfields of Texas
     My sorrow songs still I am singing,
     I sleep ’neath the stars in the jungle,
     I am brother to the beasts and the leopard,
     The lion’s strength moves in my sinews,
     In my bones is the iron of my Africa.
     I worship the life-giving sunlight,
     Oblations I give to the moon,
     My gods are of stone and of iron—
     No greater than these have I found.
     I build temples which I may not enter,
     I garner the harvest but eat not;
     I gather the cotton in the Southland,—
     Give grist to the mills in the Northland,—

I am Africa:
     I laid down my life at Fort Pillow,
     My blood’s on the Common of Boston;
     I died on the flag at Fort Wagner,
     My bones lie bleaching in Flanders. 
     They lynch me and burn me in Georgia,
     My body is fuel in Texas,
     They jim-crow me even in Washington, 
     They mock me even from the White House.
     Black as the wealth of my coal mines, 
     Black as high noon of my midnight,—
     I am the nimbus of nations,
I am Africa.

",July,1928,The Crisis,W.E.B. Du Bois,Free verse,male,"Africa, Slavery, Lynching and Racialized Violence",,New York,Predom. Black,https://en.wikipedia.org/wiki/Walter_Everette_Hawkins
Ethiopian Maid,Walter Everette Hawkins,Hawkins,"I MINGLE my goblet with oil of the vine,
And drink to the health of a maid most benign;
No less do I drink to her beauty and youth,
Than to her meek innocence, virtue and truth;
And meekly arrayed in thy modest brocade,
I drink to thy health, Ethiopian maid.
'Mid noon-tide and moon-tide whatever my themes,
Thy vision creeps in the enchantments of dreams;
The pipings of skylarks and trills of the wren
Are mixed in the midst of the melody when
Thy laughter rings out in the vine scented glade,
As I drink to thy health, Ethiopian maid.
When sun of the tropics turns westward and dies,
The magic still lingers in light of thine eyes;
I mingle my goblet with oil of the palm,
Where spices hang over and summer smiles warm,
And there, 'mid the magic of forest and shade,
I drink thy sweet health, Ethiopian maid.
",July,1917,The Crisis,W.E.B. Du Bois,,male,"Africa, Black Beauty",Dunbar Speaker and Entertainer,New York,Predom. Black,https://en.wikipedia.org/wiki/Walter_Everette_Hawkins
The Messenger,Walter Everette Hawkins,Hawkins,"Trouncing tyrants and traitors.
Hampering henchmen and haters,
Erecting enlightenment's empire.
Messenger of merit and manliness,
Emancipating the enslaved;
Symbol of sane salvation;
Scorning slavish surrender;
Emblazoning economic enlightenment;
Nemesis of a nasty nation;
Grinding the great and the grovelling;
Exacting eternal equality;
Rearing the ramparts of reason.",September,1923,The Messenger,"A. Philip Randolph, Chandler Owen",,male,Progress and Racial Uplift,,New York,Predom. Black,https://en.wikipedia.org/wiki/Walter_Everette_Hawkins
Empire ,Walter Waring,Waring,"Come out, young men,
To guard our gold,
To guard our gold, 
And watch our land........
They wait to hear
No second call--
These gay young men,
These brave young men........
And flinging taunts 
At crafty Death,
They play with him
As in a game.
And if they lose, 
As lose they must,
In some queer land,
On queerer field,
We'll write their names
In virgin gold
Though rare it be,
And dear it be--
And we will give 
Our greentest land
To hold their dust........
Come out, young men,
To guard our gold!",June,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",Free verse,male,Empire,,Philadelphia,Predom. Black,https://philly.newspapers.com/article/the-philadelphia-inquirer-w-e-waring/137756079/
Retort ,Walter Waring,Waring,"Though you point out our lowly birth
And boast your finer, nobler earth,
You do not cite, to prove your worth,
That you sprang from a Nordic serf.",June,1928,Black Opals,"Nellie R. Bright, Arthur Huff Fauset, Allan Randal Freelon, James H. Young",,male,,,Philadelphia,Predom. Black,https://philly.newspapers.com/article/the-philadelphia-inquirer-w-e-waring/137756079/
Murderer,Walter Waring,Waring,"What did they mean,
Ten years ago,
When they blessed him
And sent him forth
To kill?

The Bishop's words
Come back :
The ""enemy must be
Crushed!""

Today he killed again,
Crushed his enemy–
Why now their pious horror ?
What did they mean,
Ten years ago?
",September,1928,The Crisis,W.E.B. Du Bois,Free Verse,male,,,New York,Predom. Black,https://philly.newspapers.com/article/the-philadelphia-inquirer-w-e-waring/137756079/
The Death Bed,Waring Cuney,Cuney,"All the time they were praying
He watched the shadow of a tree
Flicker on the wall.
There is no need of prayer,
He said,
No need at all.
The kin-folk thought it strange
That he should ask them from a dying bed.
But they left all in a row
And it seemed to ease him
To see them go.
There were some who kept on praying
In a room across the hall
And some who listened to the breeze
That made the shadows waver
On the wall.
He tried his nerve
On a song he knew
And made an empty note
That might have come,
From a bird's harsh throat.
And all the time it worried him
That they were in there praying
And all the time he wondered
What it was they could be saying.",November,1926,Fire!!,Wallace Thurman,Free verse,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
Interior Decoration,Waring Cuney,Cuney,"When the earth was finished
God papered the ceiling
And walls with sky.
He then hung out the moon
And fixed the stars in place.",August,1927,Opportunity,"Charles S. Johnson, Countee Cullen",Free Verse,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
A Triviality,Waring Cuney,Cuney,"Not to dance with her
Was such a trivial thing.
There were girls more fair than she,—
Today
Ten girls dressed in white.
Each had a white rose wreath.
They made a dead man’s arch
And ten strong men
Carried a body through.
Not to dance with her
Was a trivial thing.",November,1927,Opportunity,"Charles S. Johnson, Countee Cullen",,male,,,New York,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
Grave,Waring Cuney,Cuney,"When I am in my grrave
And none are there
Save those who like myself
Must sleep,
I shall wake at times
To weep.
I shall wake at times
To weep,
For I need have no fears
There
That someone see
My tears.
I need have no fears.",October,1926,Palms,Countee Cullen,Free verse,male,,,"Guadalajara, Mexico",Predom. White,https://en.wikipedia.org/wiki/Waring_Cuney
Hammer Song,Waring Cuney,Cuney,"On dis mountain
You can't find,
A hammer wid a ring,
A ring like mine.
Ring, Jesus, Ring.
Say on dis mountain
You can't find,
A hammer wid a ring,
A ring like mine.
Ring, Jesus, Ring.
Mean on dis mountain
You can't find,
A hammer wid a ring,
A ring like mine.
Ring, Jesus, Ring",June,1928,Saturday Evening Quill,Eugene Gordon,,male,"Labor, Religion",,,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
Jes' Moochin' Along,Waring Cuney,Cuney,"Jes moochin' along,
Down de road.
Jes moochin' along,
Wid ma load.
Turn to de Bible
An' you will see,
Down an' out folks
Like you an' me.
Jes moochin' along,
Down de road.
Jes moochin' along,
Wid ma load.
Dere was po' Mary
A low down gal,
Jesus tol' her
I'm yo' pal.
Jes moochin' along,
Down de road.
Jes moocliin' along,
Wid ma load.
Look at Daniel
In de lions' den,
Lions wouldn't bite
Dem Christian men.
Jes moochin' along,
Down de road.
Jes moochin' along,
Wid ma load.
Oh, I wilt fallow
'Till judgment day,
'Cause ma Lawd
Leads de way.
Jes moochin' along,
Down de road.
Jes moochin' along,
Wid ma load.",June,1928,Saturday Evening Quill,Eugene Gordon,,male,Religion,,,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
Old Man Death,Waring Cuney,Cuney,"Old Man Death,
Keeps comin' roun'.
Dat Ole Man Death,
Keeps comin' roun'.
Last time he came
He laid ma mother down.
Each black wagon
On de line,
O Lawd, pity
Dis heart o' mine!
Old Man Death,
Keeps comin' roun'.
Dat Ole Man Death.
Keeps comin' roun'.
Last time he came
He laid ma mother down.
Two white horses
Wid eight black feet,
Carried dat hearse
Down de street.
Old Man Death,
Keeps comin' roun'.
Dat Ole Man Death,
Keeps comin' roun'.
Last time he came
He laid ma mother down.
Oh, I felt so blue
On dat track,
'Cause she wasn't
Comin' back.
Old Man Death,
Keeps comin' roun'.
Dat Ole Man Death,
Keeps comin' roun'.
Last time he came
He laid ma mother down. ",June,1928,Saturday Evening Quill,Eugene Gordon,Blues,male,,,,Predom. Black,https://en.wikipedia.org/wiki/Waring_Cuney
